Identification of Establishment,Region,Total Annual Sales in Fiscal Year,Permanent Full-time Workers,Total Annual Cost of Labor,Total Annual Cost of Electricity,Number of Highly Skilled Jobs Worker,Top Manager's Experience in Sector,log of Firm Performance per Worker,log of Labor Cost per Worker,log of Electricity Cost per Worker,log of Number of High Skilled Workers,log of Experience of Top Manager,log of Firm Age,"Owners of the firm females (Yes=1, No=0)","Top Manager Female (Yes=1, No=0)","Have an internationally recognized quality certification? (Yes=1, No=0)","Establishment experience power outages (Yes=1, No=0)","Does this establishment have its own website or social media page? (Yes=1, No=0)","Inspected by tax officials (Yes=1, No=0)","Has current or savings account (Yes=1, No=0)","Have an over-draft facility (Yes=1, No=0)","Have a line of credit (Yes=1, No=0)","Inadequately educated workforce (Yes=1, No=0)","Business licensing and permits (Yes=1, No=0)","Corruption (Yes=1, No=0)","Access to land (Yes=1, No=0)","Political instability (Yes=1, No=0)","Access to finance (Yes=1, No=0)","Electricity (Yes=1, No=0)","Practices of competitors in the informal sector  (Yes=1, No=0)","Tax administration  (Yes=1, No=0)","Labor regulations  (Yes=1, No=0)","Tax rates  (Yes=1, No=0)","Customs and trade regulations  (Yes=1, No=0)","Transport (Yes=1, No=0)","Courts (Yes=1, No=0)","Crime, theft and disorder (Yes=1, No=0)"
862554,Dhaka MA,280000000,135,13500000,715000,100,15,14.54502539,11.51292554,8.574764442,4.615120517,2.772588722,2.833213344,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862555,Khulna,1600000,6,608000,360000,5,20,12.49375534,11.52617234,11.00210262,1.791759469,3.044522438,3.044522438,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862556,Dhaka MA,7500000,7,985000,60000,6,25,13.88450356,11.85448779,9.056206359,1.945910149,3.258096538,3.135494216,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862557,Khulna,230000000,25,7500000,60000,0,20,16.03471405,12.61153789,7.783240683,0,3.044522438,3.433987204,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
862558,Rajshahi,6000000,16,2500000,200000,10,40,12.83468147,11.95921297,9.433488923,2.397895273,3.713572067,4.127134385,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862559,Dhaka MA,1200000,6,420000,20000,0,20,12.20607348,11.1562529,8.111778082,0,3.044522438,2.564949357,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862560,Khulna,150000000,100,12600000,500000,10,25,14.22097567,11.74403727,8.517195191,2.397895273,3.258096538,3.17805383,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
862561,Dhaka MA,400000000,16,2700000,96000,1,36,17.03438639,12.03617398,8.699525165,0.693147181,3.610917913,3.610917913,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862562,Dhaka MA,25000000,12,1500000,50000,12,25,14.54947977,11.73606968,8.334891634,2.564949357,3.258096538,3.871201011,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862563,Khulna,9000000,11,1100000,360000,10,42,13.61483997,11.51292637,10.39596682,2.397895273,3.761200116,3.496507561,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
862564,Rajshahi,5000000,40,3500000,8000,0,10,11.73606922,11.37939436,5.298442359,0,2.397895273,2.197224577,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862565,Dhaka MA,600000,5,620000,24000,1,45,11.69524869,11.72803846,8.476412863,0.693147181,3.828641396,3.610917913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862566,Khulna,540000000,180,27472500,2400000,30,5,14.91412285,11.93573925,9.498022861,3.433987204,1.791759469,1.791759469,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862567,Dhaka MA,3200000,5,563000,24000,0,35,13.36922377,11.63159877,8.476412863,0,3.583518938,2.890371758,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862568,Chattogram,40000000,32,3400000,4800000,0,20,14.03865413,11.57355038,11.91839078,0,3.044522438,2.995732274,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862569,Chattogram,43500000,30,5500000,400000,3,6,14.18707414,12.11906145,9.498024944,1.386294361,1.945910149,3.496507561,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862570,Dhaka MA,5000000,20,700000,7200,2,35,12.4292164,10.46310477,5.886242911,1.098612289,3.583518938,3.496507561,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862571,Dhaka MA,8000000,10,1187000,30000,2,50,13.59236713,11.68435542,8.0064009,1.098612289,3.931825633,4.143134726,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862572,Chattogram,100000000,20,2800000,2400000,10,16,15.42494848,11.84939806,11.69524744,2.397895273,2.833213344,2.833213344,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862574,Chattogram,20000000,130,13300000,300000,20,20,11.94370843,11.53574022,7.744006637,3.044522438,3.044522438,2.890371758,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862575,Dhaka MA,6000000,5,580000,18000,0,13,13.99783228,11.66134719,8.188744678,0,2.63905733,3.135494216,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862576,Khulna,1250000,4,488000,36000,0,30,12.65236055,11.71177837,9.105007634,0,3.433987204,3.135494216,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862577,Rajshahi,4200000,20,2210000,200000,0,14,12.25486305,11.61277125,9.210345372,0,2.708050201,3.044522438,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862578,Dhaka MA,5000000,15,3600000,1800000,1,20,12.71689847,12.38839448,11.69524758,0.693147181,3.044522438,2.944438979,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862579,Greater Dhaka,9800000,15,1450000,30000,2,29,13.38984284,11.4790246,7.600935792,1.098612289,3.401197382,3.401197382,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862580,Khulna,20400000,15,2450000,90000,2,30,14.12299531,12.00354879,8.699525859,1.098612289,3.433987204,4.290459441,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
862581,Chattogram,7000000,12,1200000,75000,0,20,13.2765142,11.5129263,8.740350076,0,3.044522438,4.382026635,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862582,Dhaka MA,27000000,40,3870000,60000,2,50,13.42246801,11.47988587,7.313237054,1.098612289,3.931825633,3.931825633,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862583,Rajshahi,900000,1,360000,10000,0,38,13.71015115,12.79386209,9.210440367,0,3.663561646,3.496507561,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862584,Dhaka MA,3320000,5,575000,18000,0,20,13.40603773,11.65268915,8.188744678,0,3.044522438,3.135494216,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862585,Dhaka MA,12000000,20,2470000,60000,0,35,13.30468502,11.72399684,8.006384234,0,3.583518938,2.833213344,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862587,Khulna,700000,9,1000000,50000,0,46,11.26161247,11.61828698,8.622573707,0,3.850147602,3.871201011,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862588,Khulna,12000000,25,2700000,90000,2,35,13.08154147,11.58988688,8.188700235,1.098612289,3.583518938,3.33220451,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862589,Greater Dhaka,500000,2,476000,14400,0,30,12.4292182,12.38002805,8.881905747,0,3.433987204,3.465735903,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862590,Khulna,8350000,5,450000,36000,0,28,14.3283343,11.40756717,8.881864082,0,3.36729583,4.234106505,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
862591,Chattogram,4000000,5,500000,140000,0,20,13.59236726,11.51292746,10.23996693,0,3.044522438,3.218875825,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862592,Dhaka MA,27000000,21,2870000,60000,5,18,14.06682502,11.8253005,7.95759407,1.791759469,2.944438979,2.944438979,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
862593,Dhaka MA,500000000,150,15100000,2400000,5,25,15.01948336,11.51957007,9.680344418,1.791759469,3.258096538,3.401197382,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
862594,Dhaka MA,100000000,85,11750000,90000,2,50,13.9780295,11.83671263,6.964924804,1.098612289,3.931825633,3.784189634,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862595,Khulna,5000000,33,3813200,192000,3,20,11.92844111,11.65747199,8.668748298,1.386294361,3.044522438,3.295836866,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862598,Rajshahi,3600000,20,1130000,300000,0,42,12.10071241,10.9419968,9.615808813,0,3.761200116,3.80666249,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862599,Dhaka MA,15000000,125,13850000,240000,2,30,11.69524709,11.61548213,7.560084632,1.098612289,3.433987204,3.044522438,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862600,Khulna,972000,4,420000,120000,0,30,12.40081775,11.56171801,10.30896099,0,3.433987204,3.433987204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862601,Khulna,3300000,25,2888000,120000,1,40,11.7905575,11.6571993,8.47637953,0.693147181,3.713572067,3.713572067,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862602,Sylhet,4000000,25,1500000,90000,1,35,11.98292934,11.00210051,8.188700235,0.693147181,3.583518938,3.610917913,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862603,Dhaka MA,4500000,20,2200000,800000,2,6,12.3238559,11.6082361,10.59663598,1.098612289,1.945910149,1.945910149,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862604,Dhaka MA,9000000,20,1450000,300000,1,19,13.01700297,11.19134253,9.615808813,0.693147181,2.995732274,2.63905733,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
862605,Rajshahi,4500000,20,2800000,600000,2,21,12.3238559,11.84939806,10.30895433,1.098612289,3.091042453,3.135494216,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862606,Dhaka MA,2000000,15,1658000,36000,0,30,11.80060804,11.61307302,7.783251794,0,3.433987204,3.465735903,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862607,Greater Dhaka,1100000,8,960000,96000,0,20,11.83138011,11.69524806,9.392672345,0,3.044522438,4.143134726,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862608,Dhaka MA,1600000,12,1300000,50000,2,14,11.80060816,11.59296894,8.334891634,1.098612289,2.708050201,3.555348061,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
862609,Rajshahi,4700000,10,1800000,144000,2,7,13.06048819,12.10071269,9.57499043,1.098612289,2.079441542,1.945910149,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862610,Dhaka MA,7000000,12,800000,120000,10,15,13.2765142,11.10746161,9.210348705,2.397895273,2.772588722,3.33220451,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862611,Dhaka MA,4000000,14,1205000,350000,5,5,12.56274784,11.36293363,10.12663396,1.791759469,1.791759469,2.564949357,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862613,Dhaka MA,15000000,16,3200000,2200000,2,20,13.7509721,12.20607296,11.83137965,1.098612289,3.044522438,3.044522438,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862614,Dhaka MA,15000000,20,1800000,1250000,12,20,13.52782855,11.4075655,11.04292264,2.564949357,3.044522438,2.302585093,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862615,Dhaka MA,7500000,16,1620000,120000,6,15,13.05782499,11.5253486,8.922666633,1.945910149,2.772588722,2.564949357,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862616,Rajshahi,7500000,25,4000000,360000,0,24,12.61153789,11.98292934,9.574986263,0,3.218875825,3.688879454,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862617,Dhaka MA,13000000,26,3100000,1200000,26,20,13.12236345,11.68881645,10.73973641,3.295836866,3.044522438,3.258096538,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862618,Dhaka MA,750000,4,500000,30000,0,30,12.14153546,11.73607102,8.922691632,0,3.433987204,3.295836866,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862619,Dhaka MA,2250000,12,1460000,36000,1,20,12.14153457,11.70904103,8.006395345,0.693147181,3.044522438,3.135494216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862620,Dhaka MA,9000000,7,775600,24000,0,55,14.0668251,11.61548334,8.139940626,0,4.025351691,3.931825633,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862621,Rajshahi,3000000,24,2200000,16000,2,40,11.73606935,11.42591454,6.502352669,1.098612289,3.713572067,3.555348061,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862622,Dhaka MA,1500000,15,1670000,75000,0,60,11.51292613,11.62028458,8.517206525,0,4.110873864,3.931825633,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862623,Rajshahi,3500000,20,2000000,72000,0,30,12.07254154,11.51292596,8.188703013,0,3.433987204,2.772588722,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
862625,Dhaka MA,2000000,16,1500000,25000,16,13,11.73606952,11.44838761,7.354082381,2.833213344,2.63905733,2.708050201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862626,Dhaka MA,4000000,12,1200000,150000,6,25,12.71689852,11.5129263,9.43349059,1.945910149,3.258096538,3.135494216,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862627,Chattogram,35000000,300,34100000,120000,80,25,11.66707617,11.6410255,5.99147288,4.394449155,3.258096538,3.044522438,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862628,Dhaka MA,22000000,50,7835000,1800000,35,35,12.99453005,11.96208856,10.49127477,3.583518938,3.583518938,3.583518938,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862630,Rajshahi,100000000,33,10000000,15000000,30,12,14.92417319,12.62158819,13.02705326,3.433987204,2.564949357,2.564949357,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862631,Khulna,35000000,22,3800000,670000,20,12,14.27981619,12.05946943,10.32399203,3.044522438,2.564949357,1.609437912,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862632,Cox's Bazar,1000000000,60,20000000,300000,50,30,16.62892128,12.71689832,8.517196525,3.931825633,3.433987204,3.526360525,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862633,Rajshahi,1000000,5,1200000,36000,4,40,12.20607365,12.38839504,8.881864082,1.609437912,3.713572067,2.564949357,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862634,Barishal,2500000,7,947000,36000,3,15,12.78589154,11.81514528,8.545391846,1.386294361,2.772588722,3.871201011,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862635,Rajshahi,3000000,6,1728000,306000,6,10,13.12236371,12.57071634,10.83958418,1.945910149,2.397895273,3.044522438,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862636,Khulna,15000000,12,1200000,240000,1,30,14.03865418,11.5129263,9.903491719,0.693147181,3.433987204,2.397895273,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862637,Cox's Bazar,40000000,35,1200000,150000,30,16,13.94904198,10.44248489,8.363049178,3.433987204,2.833213344,3.135494216,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862638,Cox's Bazar,60000000,60,22000000,240000,45,35,13.81551057,12.81220849,8.294053807,3.828641396,3.583518938,2.564949357,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862639,Cox's Bazar,20000000,12,6000000,120000,2,27,14.32633623,13.12236354,9.210348705,1.098612289,3.33220451,3.044522438,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
862640,Barishal,3000000,5,1000000,60000,0,25,13.30468527,12.20607365,9.392678595,0,3.258096538,3.33220451,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862641,Rajshahi,4000000,10,1500000,50000,3,10,12.89922008,11.91839124,8.517213191,1.386294361,2.397895273,3.33220451,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862642,Rajshahi,400000000,7,1500000,500000000,3,32,17.86106496,12.27506618,18.08420851,1.386294361,3.496507561,3.496507561,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862643,Sylhet,7200000,5,420000,180000,3,4,14.18015381,11.33857446,10.49127977,1.386294361,1.609437912,1.791759469,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862644,Rajshahi,1000000,8,800000,200000,7,33,11.73607002,11.51292671,10.1266361,2.079441542,3.526360525,3.555348061,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862645,Rajshahi,25000000,10,1000000,100000,2,22,14.73180133,11.51292646,9.210350372,1.098612289,3.135494216,3.091042453,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862646,Cox's Bazar,90000000,5,520000,330000,3,9,16.70588233,11.5521481,11.09741305,1.386294361,2.302585093,3.784189634,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862647,Barishal,5500000,17,2241000,90000,10,35,12.68704549,11.78921985,8.574362716,2.397895273,3.583518938,4.262679877,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862648,Cox's Bazar,40000000,40,6000000,1500000,25,20,13.81551058,11.91839074,10.53209688,3.258096538,3.044522438,2.564949357,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862649,Cox's Bazar,50000000,21,2000000,120000,20,25,14.68301115,11.4641358,8.650732917,3.044522438,3.258096538,3.663561646,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862650,Cox's Bazar,32000000,20,3500000,300000,10,20,14.28551422,12.07254154,9.615808813,2.397895273,3.044522438,3.713572067,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862651,Cox's Bazar,50000000,60,20000080,150000,40,12,13.63318902,12.71690232,7.824052678,3.713572067,2.564949357,3.496507561,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862652,Greater Dhaka,9000000,12,3600000,240000,4,20,13.5278286,12.61153803,9.903491719,1.609437912,3.044522438,2.564949357,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862653,Chattogram,12000000,50,4063000,1800000,2,9,12.38839429,11.30540942,10.49127477,1.098612289,2.302585093,3.496507561,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862654,Barishal,2600000,6,672000,120000,5,40,12.97926292,11.62625564,9.903495886,1.791759469,3.713572067,3.135494216,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862655,Cox's Bazar,28000000,55,9000000,240000,90,39,13.14038192,12.00540206,8.381065184,4.510859507,3.688879454,3.044522438,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862656,Barishal,23000000,28,4496000,600000,20,32,13.61880031,11.98649438,9.972482091,3.044522438,3.496507561,3.33220451,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862657,Chattogram,55000000,10,1254000,240000,7,30,15.52025867,11.7392647,10.08581328,2.079441542,3.433987204,3.044522438,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862658,Greater Dhaka,5500000,12,1500000,2300000,1,40,13.03535218,11.73606968,12.16351347,0.693147181,3.713572067,3.761200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862659,Barishal,9000000,10,1830000,300000,6,26,13.71015015,12.11724198,10.30895599,1.945910149,3.295836866,3.33220451,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862660,Rajshahi,15000000,38,4560000,600000,5,30,12.88597467,11.69524724,9.667100441,1.791759469,3.433987204,3.433987204,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
862661,Rajshahi,7500000,6,2200000,360000,4,13,14.03865424,12.8122089,11.00210262,1.609437912,2.63905733,2.772588722,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862662,Greater Dhaka,30000000,7,1200000,600000,3,25,15.27079782,12.0519228,11.35877645,1.386294361,3.258096538,2.833213344,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862663,Rajshahi,12000000,27,3584000,180000,3,40,13.00458043,11.79615347,8.804880819,1.386294361,3.713572067,4.709530201,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862664,Chattogram,82000000,70,20000000,200000,50,30,13.97373458,12.56274764,7.957582403,3.931825633,3.433987204,3.33220451,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862665,Barishal,3800000,8,1200000,60000,0,15,13.07107035,11.91839141,8.922674966,0,2.772588722,3.218875825,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862666,Rajshahi,180000000,160,31200000,9600000,10,27,13.9332936,12.18075487,11.00209995,2.397895273,3.33220451,2.48490665,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862667,Khulna,1300000,5,500000,60000,2,4,12.46843768,11.51292746,9.392678595,1.098612289,1.609437912,3.761200116,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862668,Rajshahi,10000000,30,3600000,150000,12,40,12.71689837,11.6952473,8.517199858,2.564949357,3.713572067,3.496507561,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862669,Barishal,20000000,18,2540000,500000,8,20,13.92087112,11.85730327,10.23199362,2.197224577,3.044522438,2.197224577,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862670,Sylhet,20000000,6,3000000,720000,2,20,15.01948341,13.12236371,11.69524841,1.098612289,3.044522438,1.791759469,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862671,Khulna,3400000,5,1200000,6000,2,35,13.42984837,12.38839504,7.090243489,1.098612289,3.583518938,3.258096538,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862672,Rajshahi,800000,5,550000,48000,1,35,11.98293034,11.60823746,9.169539211,0.693147181,3.583518938,2.833213344,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862673,Cox's Bazar,150000000,20,4000000,180000,0,40,15.83041359,12.2060729,9.104985412,0,3.713572067,3.135494216,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862674,Cox's Bazar,33000000,25,5000000,240000,5,12,14.09314232,12.20607285,9.169522544,1.791759469,2.564949357,3.33220451,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862675,Chattogram,50000000,25,3630000,180000,12,20,14.50865776,11.88586766,8.881841861,2.564949357,3.044522438,3.737669618,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862676,Rajshahi,100000000,12,2448000,1200000,3,20,15.9357741,12.22587568,11.5129263,1.386294361,3.044522438,3.737669618,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862677,Cox's Bazar,80000000,70,9000000,188000,50,25,13.94904196,11.76424,7.895707319,3.931825633,3.258096538,3.891820298,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862678,Barishal,35000000,25,4000000,300000,20,30,14.15198282,11.98292934,9.392665262,3.044522438,3.433987204,3.433987204,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862680,Rajshahi,4500000,15,1400000,1200000,6,13,12.61153798,11.44393331,11.28978275,1.945910149,2.63905733,1.386294361,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862681,Dhaka MA,2300000,5,1040000,30000,3,40,13.0389822,12.24529432,8.699548081,1.386294361,3.713572067,4.143134726,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862682,Khulna,36000000,15,4000000,240000,10,20,14.69097932,12.49375497,9.680348168,2.397895273,3.044522438,3.091042453,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
